常熟理工学院 xianxb@cslg.edu.cn 
常州大学 hqfeng@cczu.edu.cn 
常州纺织服装职业技术学院 xlx@cztgi.edu.cn 
常州工程职业技术学院 smzhou@email.czie.net 
常州工学院 luyq@cit.edu.cn 
常州机电职业技术学院 1018@czmec.cn 
常州轻工职业技术学院 hxz@czili.edu.cn 
常州信息职业技术学院 klf@163.com 
东南大学 htao@seu.edu.cn
硅湖职业技术学院 kmds3000@126.com 
河海大学 hjiang@hhu.edu.cn 
河海大学(常州) zhouj@hhuc.edu.cn 
淮安信息职业技术学院 jjq@hcit.edu.cn 
淮海工学院 work1@hhit.edu.cn
淮阴工学院 lq@mail.hyit.edu.cn 
淮阴师范学院 well36@hytc.edu.cn 
健雄职业技术学院 xiasuzhou@163.com 
江海职业技术学院 dxvh@163.com 
江南大学 shenyz@jiangnan.edu.cn 
江苏财经职业技术学院 sbj123123@126.com 
江苏大学 lujh@ujs.edu.cn
江苏广播电视大学 fjx@jstvu.edu.cn 
江苏海事职业技术学院 njhxzhr@163.com 
江苏建康职业学院 xqni1968@163.com 
江苏经贸职业技术学院 linbrother@126.com 
江苏警官学院 wangqun@jspi.edu.cn 
江苏科技大学 dmwang@just.edu.cn
江苏农林职业技术学院 lrq163@163.com 
江苏省高校招生就业指导服务中心 leontea@msn.com 
江苏省交通技师学院 57269465@qq.com
江苏省教育委员会 yinqf@jse.edu.cn
江苏食品职业技术学院 hhy8848@126.com 
江苏信息职业技术学院 jcxcjj@163.com 
江苏有线数据网络有限责任公司 yangyi@jscndata.com
江苏云港网络科技公司 27085322@qq.com
解放军理工大学 mingchennj@163.com 
金肯职业技术学院 313651021@qq.com 
金陵科技学院 jit@jit.edu.cn 
九州职业技术学院 cmliu1565@163.com 
昆山登云科技职业学院 fsz8199@126.com 
连云港师范高等专科学校 zhao660903@163.com 
连云港职业技术学院 anlong_lyg@163.com 
南京财经大学 spenlow@njue.edu.cn 
南京大学 ljf@nju.edu.cn
南京工程学院 chenli@njit.edu.cn 
南京工业大学 myao@njut.edu.cn
南京工业职业技术学院 mengqj@niit.edu.cn 
南京交通职业技术学院 zhxycn@njci.cn
南京理工大学 lhfeng@njust.edu.cn
南京理工大学泰州科技学院 980385129@qq.com
南京林业大学 gwj@njfu.edu.cn 
南京农业大学 baoping@njau.edu.cn 
南京人口管理干部学院 cfan@mail.ncppm.cn 
南京审计学院 wwwjh@nau.edu.cn 
南京师范大学 wangdaosheng@njnu.edu.cn
南京师范大学泰州学院 zhifang_he@126.com 
南京特殊教育职业技术学院 chenbing@live.com
南京铁道职业技术学院 njmxy@126.com 
南京晓庄学院 xuetq@njxzc.edu.cn 
南京信息工程大学 cwchxx@nuist.edu.cn 
南京信息职业技术学院 cs@njcit.edu.cn 
南京艺术学院 nywlzx@njarti.edu.cn 
南京邮电大学 huanggang@njupt.edu.cn 
南京政治学院 wgzx2006@126.com 
南京中医药大学 youngboyer@gmail.com
南京中医药大学翰林学院 wubo_520184@163.com
南通大学 hnsyk@ntu.edu.cn 
南通纺织职业技术学院 hksfans@nttec.edu.cn 
南通航运职业技术学院 zlx@ntsc.edu.cn 
南通农业职业技术学院 tz_yms@163.com 
南通市大学生公寓开发管理有限公司 fish780516@hotmail.com 
南通市广播电视大学 nthuangdh@nttvu.edu.cn 
南通职业大学 kay402@sina.com 
三江学院 caolm@sju.js.cn 
沙洲职业工学院 yuehao@szit.edu.cn 
苏州大学 sgl@suda.edu.cn
苏州工业园区职业技术学院 ora1968923@sina.com 
苏州工业职业技术学院 hexm@siit.cn 
苏州经贸职业技术学院 bpeng@szjm.edu.cn 
苏州科技学院 djzhang@mail.usts.edu.cn 
苏州农业职业技术学院 chjun2000@126.com 
苏州市职业大学 huangwei@jssvc.edu.cn 
苏州卫生职业技术学院 ynsong@szhct.edu.cn 
宿迁学院 sqdami@hotmail.com 
泰州职业技术学院  yuanyh@126.com  
无锡城市职业技术学院 cymwx@sina.com
无锡工艺职业技术学院 zxh@wxgyxy.cn 
无锡南洋职业技术学院 huercjh@163.com 
无锡商业职业技术学院 liumeihua@jscpu.com 
无锡职业技术学院 nwd@wxit.edu.cn 
徐州工程学院 29695158@qq.com 
徐州工业职业技术学院 wf@mail.xzcit.cn 
徐州建筑职业技术学院 yyx@xzcat.edu.cn 
徐州空军学院 s123qaz@163.com 
徐州师范大学 yanly@xznu.edu.cn 
徐州市教育委员会 tyj@mail.xze.cn 
徐州医学院 lijian@xzmc.edu.cn 
徐州幼儿师范高等专科学校 zhuyun1@163.com
盐城工学院 noc@ycit.cn 
盐城师范学院 ycpcfy@126.com 
盐城卫生职业技术学院 ywjjh@126.com 
炎黄职业技术学院 jinbiao_ma@163.com 
扬州大学 xlhu@yzu.edu.cn
扬州工业职业技术学院 zhangjl@ypi.edu.cn
扬州环境资源职业技术学院 tnh89@sina.com 
扬州职业大学 zqytiger@126.com
应天职业技术学院 njpanweiwei@qq.com
镇江船艇学院 wangps@vip.sina.com 
镇江高等专科学校 yym@zjc.edu.cn 
中国传媒大学南广学院 shaobin@bbi.edu.cn 
中国科学技术大学苏州研究生学院 djzhang@mail.usts.edu.cn 
中国矿业大学 lirui@cumt.edu.cn 
中国药科大学 yq_216@cpu.edu.cn 
钟山职业技术学院 yuanqc@163.com 
紫琅职业技术学院 trh@zlvc.edu.cn 
